step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
76,stage1_layout,0.462834,0.340440,0.244789,4.29e-05,0.1230
77,stage1_layout,0.465364,0.343576,0.243577,4.34e-05,0.0978
78,stage1_layout,0.471424,0.346699,0.249449,4.40e-05,0.0910
79,stage1_layout,0.456745,0.335671,0.242147,4.45e-05,0.1264
80,stage1_layout,0.468925,0.344181,0.249489,4.51e-05,0.2033
81,stage1_layout,0.467749,0.345329,0.244839,4.56e-05,0.2026
82,stage1_layout,0.473291,0.347251,0.252080,4.62e-05,0.1525
83,stage1_layout,0.469215,0.345883,0.246663,4.67e-05,0.1211
84,stage1_layout,0.466702,0.343194,0.247015,4.73e-05,0.0973
85,stage1_layout,0.460366,0.338591,0.243550,4.78e-05,0.1236
86,stage1_layout,0.462493,0.340304,0.244376,4.84e-05,0.0975
87,stage1_layout,0.463084,0.341586,0.242995,4.89e-05,0.1140
88,stage1_layout,0.465062,0.343855,0.242415,4.95e-05,0.1160
89,stage1_layout,0.468249,0.345127,0.246245,5.00e-05,0.1954
90,stage1_layout,0.463665,0.342492,0.242347,5.00e-05,0.0998
91,stage1_layout,0.453060,0.333669,0.238782,5.00e-05,0.1297
92,stage1_layout,0.464741,0.343498,0.242486,5.00e-05,0.1253
93,stage1_layout,0.466935,0.345378,0.243114,5.00e-05,0.0848
94,stage1_layout,0.466106,0.343272,0.245668,5.00e-05,0.2008
95,stage1_layout,0.462409,0.340291,0.244236,5.00e-05,0.1223
96,stage1_layout,0.463791,0.341674,0.244234,5.00e-05,0.1268
97,stage1_layout,0.462370,0.342140,0.240459,5.00e-05,0.1194
98,stage1_layout,0.458561,0.337945,0.241232,5.00e-05,0.1282
99,stage1_layout,0.454446,0.334855,0.239183,5.00e-05,0.0872
100,stage1_layout,0.462210,0.341518,0.241384,5.00e-05,0.1452
101,stage1_layout,0.456260,0.334713,0.243093,5.00e-05,0.1146
102,stage1_layout,0.458627,0.339156,0.238942,5.00e-05,0.1037
103,stage1_layout,0.457966,0.337478,0.240977,5.00e-05,0.1520
104,stage1_layout,0.458366,0.339150,0.238433,5.00e-05,0.0887
105,stage1_layout,0.470442,0.347195,0.246495,5.00e-05,0.1292
106,stage1_layout,0.467600,0.345872,0.243455,5.00e-05,0.1950
107,stage1_layout,0.463171,0.342160,0.242023,5.00e-05,0.1122
108,stage1_layout,0.469066,0.346894,0.244344,5.00e-05,0.1319
109,stage1_layout,0.459872,0.340536,0.238671,5.00e-05,0.0897
110,stage1_layout,0.460091,0.339886,0.240410,5.00e-05,0.1107
111,stage1_layout,0.453295,0.332646,0.241298,5.00e-05,0.1250
112,stage1_layout,0.456498,0.337293,0.238411,5.00e-05,0.0966
113,stage1_layout,0.462733,0.342177,0.241111,5.00e-05,0.1004
114,stage1_layout,0.459071,0.339950,0.238243,5.00e-05,0.0783
115,stage1_layout,0.471675,0.347318,0.248715,5.00e-05,0.0989
116,stage1_layout,0.466971,0.343875,0.246192,5.00e-05,0.1359
117,stage1_layout,0.459840,0.338892,0.241897,5.00e-05,0.0917
118,stage1_layout,0.461279,0.340976,0.240607,5.00e-05,0.0736
119,stage1_layout,0.460120,0.340492,0.239256,5.00e-05,0.1089
120,stage1_layout,0.467585,0.346197,0.242775,5.00e-05,0.1136
121,stage1_layout,0.462336,0.340718,0.243236,5.00e-05,0.1233
