step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
87,0,0.480710,0.000626,0.481335,8.63e-06,0.0633,0.05,
88,0,0.487689,0.000641,0.488329,8.73e-06,0.0430,0.05,
89,0,0.485384,0.000656,0.486040,8.82e-06,0.0458,0.05,
90,0,0.479653,0.000672,0.480326,8.92e-06,0.0479,0.05,
91,0,0.487144,0.000688,0.487832,9.02e-06,0.0386,0.05,
92,0,0.486685,0.000704,0.487390,9.12e-06,0.0362,0.05,
93,0,0.481597,0.000721,0.482318,9.22e-06,0.0405,0.04,
94,0,0.481877,0.000736,0.482614,9.31e-06,0.0398,0.04,
95,0,0.495031,0.000752,0.495783,9.41e-06,0.0371,0.05,
96,0,0.492817,0.000766,0.493583,9.51e-06,0.0340,0.05,
97,0,0.480962,0.000779,0.481741,9.61e-06,0.0412,0.04,
98,0,0.488533,0.000791,0.489323,9.71e-06,0.0458,0.04,
99,0,0.484638,0.000800,0.485438,9.80e-06,0.0450,0.05,
100,0,0.484697,0.000809,0.485506,9.90e-06,0.0552,0.04,
101,0,0.483437,0.000818,0.484255,1.00e-05,0.0366,0.04,
101,0,,,,,,,1.651164
102,0,0.480789,0.000829,0.481617,1.00e-05,0.0429,0.01,
103,0,0.484228,0.000839,0.485068,1.00e-05,0.0365,0.05,
104,0,0.484253,0.000849,0.485102,1.00e-05,0.0357,0.05,
105,0,0.492686,0.000860,0.493545,1.00e-05,0.0422,0.06,
106,0,0.486113,0.000870,0.486983,1.00e-05,0.0413,0.05,
107,0,0.479873,0.000880,0.480753,1.00e-05,0.0371,0.04,
108,0,0.482497,0.000888,0.483385,1.00e-05,0.0344,0.04,
109,0,0.484330,0.000896,0.485226,1.00e-05,0.0594,0.05,
110,0,0.483896,0.000904,0.484800,1.00e-05,0.0402,0.05,
111,0,0.482023,0.000912,0.482935,1.00e-05,0.0355,0.04,
112,0,0.483327,0.000920,0.484247,1.00e-05,0.0376,0.04,
113,0,0.479825,0.000928,0.480753,1.00e-05,0.0456,0.05,
114,0,0.476909,0.000935,0.477844,1.00e-05,0.0412,0.05,
115,0,0.478002,0.000941,0.478943,9.99e-06,0.0407,0.05,
116,0,0.481653,0.000946,0.482599,9.99e-06,0.0374,0.05,
117,0,0.479842,0.000951,0.480793,9.99e-06,0.0324,0.04,
118,0,0.482650,0.000955,0.483605,9.99e-06,0.0411,0.05,
119,0,0.486243,0.000958,0.487201,9.99e-06,0.0359,0.05,
120,0,0.484837,0.000961,0.485798,9.99e-06,0.0351,0.05,
121,0,0.481841,0.000962,0.482803,9.99e-06,0.0424,0.05,
122,0,0.483589,0.000963,0.484553,9.99e-06,0.0438,0.05,
123,0,0.483459,0.000965,0.484424,9.99e-06,0.0602,0.05,
124,0,0.483145,0.000966,0.484111,9.98e-06,0.0373,0.05,
125,0,0.485184,0.000968,0.486152,9.98e-06,0.0380,0.05,
126,0,0.483572,0.000971,0.484542,9.98e-06,0.0384,0.05,
127,0,0.482788,0.000974,0.483762,9.98e-06,0.0367,0.05,
128,0,0.487170,0.000977,0.488147,9.98e-06,0.0402,0.05,
129,0,0.480083,0.000980,0.481063,9.98e-06,0.0402,0.04,
130,0,0.474716,0.000982,0.475698,9.98e-06,0.0388,0.04,
131,0,0.475602,0.000984,0.476587,9.97e-06,0.0440,0.04,
132,0,0.477426,0.000986,0.478412,9.97e-06,0.0320,0.04,
133,0,0.483438,0.000987,0.484425,9.97e-06,0.0414,0.05,
134,0,0.478227,0.000989,0.479215,9.97e-06,0.0398,0.05,
135,0,0.479905,0.000990,0.480896,9.97e-06,0.0359,0.05,
136,0,0.484431,0.000993,0.485423,9.96e-06,0.0456,0.05,
137,0,0.482956,0.000994,0.483950,9.96e-06,0.0351,0.05,
138,0,0.486279,0.000995,0.487275,9.96e-06,0.0719,0.05,
139,0,0.487638,0.000997,0.488635,9.96e-06,0.0446,0.05,
140,0,0.492532,0.000999,0.493532,9.96e-06,0.0353,0.05,
141,0,0.481060,0.001003,0.482064,9.95e-06,0.0378,0.04,
142,0,0.481537,0.001007,0.482544,9.95e-06,0.0357,0.04,
143,0,0.487846,0.001012,0.488857,9.95e-06,0.0378,0.05,
144,0,0.486876,0.001016,0.487892,9.95e-06,0.0447,0.04,
145,0,0.485256,0.001022,0.486277,9.94e-06,0.0333,0.05,
