step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
76,stage1_layout,0.483905,0.353206,0.261398,1.00e-06,0.5215
77,stage1_layout,0.481742,0.352271,0.258942,1.00e-06,0.5465
78,stage1_layout,0.484791,0.352544,0.264494,1.00e-06,0.5248
79,stage1_layout,0.486759,0.356206,0.261107,1.00e-06,0.3677
80,stage1_layout,0.489426,0.357195,0.264462,1.00e-06,0.3747
81,stage1_layout,0.487811,0.354928,0.265767,1.00e-06,0.6492
82,stage1_layout,0.483624,0.352894,0.261460,1.00e-06,0.3354
83,stage1_layout,0.486863,0.355263,0.263200,1.00e-06,0.2823
84,stage1_layout,0.485015,0.352796,0.264438,1.00e-06,0.3896
85,stage1_layout,0.491699,0.358137,0.267124,1.00e-06,0.3378
86,stage1_layout,0.490018,0.356737,0.266560,1.00e-06,0.8266
87,stage1_layout,0.488651,0.356366,0.264570,1.00e-06,0.6258
88,stage1_layout,0.483056,0.353228,0.259656,1.00e-06,0.2943
89,stage1_layout,0.477530,0.348322,0.258417,1.00e-06,0.3512
90,stage1_layout,0.474440,0.345208,0.258464,1.00e-06,0.3527
91,stage1_layout,0.481803,0.351350,0.260905,1.00e-06,0.4267
92,stage1_layout,0.481324,0.350152,0.262344,1.00e-06,0.2945
93,stage1_layout,0.485533,0.354200,0.262665,1.00e-06,0.4720
94,stage1_layout,0.483720,0.353061,0.261318,1.00e-06,0.3097
95,stage1_layout,0.486086,0.354057,0.264058,1.00e-06,0.5777
96,stage1_layout,0.492449,0.358296,0.268306,1.00e-06,0.7144
97,stage1_layout,0.480602,0.350640,0.259926,1.00e-06,0.3977
98,stage2_agent,0.472468,0.342731,0.259474,1.05e-07,0.2772
99,stage2_agent,0.474521,0.343998,0.261046,1.58e-07,0.3288
100,stage2_agent,0.475757,0.345859,0.259796,2.11e-07,0.2698
101,stage2_agent,0.480320,0.349768,0.261106,2.63e-07,0.3149
102,stage2_agent,0.476245,0.346532,0.259425,3.16e-07,0.3137
103,stage2_agent,0.468388,0.339653,0.257471,3.68e-07,0.3976
104,stage2_agent,0.472889,0.343416,0.258946,4.21e-07,0.2941
105,stage2_agent,0.473781,0.344319,0.258924,4.74e-07,0.3010
106,stage2_agent,0.479302,0.347838,0.262929,5.26e-07,0.5240
107,stage2_agent,0.472321,0.342614,0.259412,5.79e-07,0.3257
108,stage2_agent,0.474329,0.344951,0.258755,6.32e-07,0.3504
109,stage2_agent,0.472402,0.342688,0.259427,6.84e-07,0.3909
110,stage2_agent,0.485805,0.352011,0.267588,7.37e-07,0.5108
111,stage2_agent,0.480048,0.348446,0.263205,7.89e-07,0.5105
112,stage2_agent,0.480506,0.347037,0.266938,8.42e-07,1.0460
113,stage2_agent,0.489464,0.354645,0.269637,8.95e-07,0.4366
114,stage2_agent,0.465290,0.337723,0.255135,9.47e-07,0.3547
115,stage2_agent,0.478831,0.347000,0.263663,1.00e-06,0.4348
116,stage2_agent,0.474132,0.344154,0.259954,1.00e-06,0.2468
117,stage2_agent,0.487277,0.353074,0.268406,1.00e-06,0.2717
118,stage2_agent,0.471427,0.342459,0.257934,1.00e-06,0.3682
119,stage2_agent,0.473142,0.343386,0.259512,1.00e-06,0.2659
120,stage2_agent,0.474516,0.345642,0.257746,1.00e-06,0.5057
121,stage2_agent,0.479994,0.348761,0.262466,1.00e-06,0.4960
122,stage2_agent,0.485750,0.351890,0.267720,1.00e-06,0.4848
123,stage2_agent,0.479441,0.348388,0.262106,1.00e-06,0.5654
124,stage2_agent,0.478554,0.348218,0.260673,1.00e-06,0.4270
125,stage2_agent,0.465905,0.338025,0.255760,1.00e-06,0.2247
126,stage2_agent,0.475880,0.345697,0.260366,1.00e-06,0.3490
127,stage2_agent,0.474116,0.344147,0.259936,1.00e-06,0.2763
128,stage2_agent,0.478149,0.347390,0.261518,1.00e-06,0.4287
129,stage2_agent,0.480364,0.349415,0.261898,1.00e-06,0.2790
130,stage2_agent,0.481111,0.349472,0.263277,1.00e-06,0.3377
131,stage2_agent,0.474349,0.343998,0.260701,1.00e-06,0.2161
132,stage2_agent,0.472240,0.342504,0.259472,1.00e-06,0.2541
133,stage2_agent,0.479479,0.348202,0.262555,1.00e-06,0.2568
134,stage2_agent,0.472742,0.343573,0.258336,1.00e-06,0.3506
135,stage2_agent,0.484610,0.351114,0.266992,1.00e-06,0.2777
136,stage2_agent,0.486485,0.352465,0.268041,1.00e-06,0.2467
137,stage2_agent,0.478001,0.345195,0.265613,1.00e-06,0.4241
138,stage2_agent,0.469990,0.340764,0.258453,1.00e-06,0.2431
139,stage2_agent,0.476480,0.346465,0.260031,1.00e-06,0.2554
140,stage2_agent,0.473292,0.344223,0.258137,1.00e-06,0.2580
141,stage2_agent,0.470874,0.342535,0.256678,1.00e-06,0.2374
142,stage2_agent,0.476448,0.344772,0.263353,1.00e-06,0.2581
143,stage2_agent,0.467600,0.338932,0.257336,1.00e-06,0.2381
144,stage2_agent,0.475656,0.346670,0.257972,1.00e-06,0.2617
145,stage2_agent,0.476245,0.345636,0.261219,1.00e-06,0.4210
146,stage2_agent,0.468042,0.340103,0.255879,1.00e-06,0.3664
147,stage2_agent,0.467952,0.339677,0.256550,1.00e-06,0.3106
148,stage2_agent,0.476579,0.345127,0.262903,1.00e-06,0.4898
149,stage2_agent,0.480654,0.348100,0.265109,1.00e-06,0.3660
150,stage2_agent,0.471630,0.342964,0.257330,1.00e-06,0.5331
151,stage2_agent,0.473052,0.343787,0.258530,1.00e-06,0.2336
152,stage2_agent,0.475132,0.345104,0.260056,1.00e-06,0.2021
153,stage2_agent,0.468512,0.339778,0.257469,1.00e-06,0.2874
154,stage2_agent,0.479979,0.347384,0.265189,1.00e-06,0.5508
155,stage2_agent,0.473980,0.345410,0.257139,1.00e-06,0.1945
156,stage2_agent,0.475098,0.345404,0.259388,1.00e-06,0.1981
157,stage2_agent,0.480604,0.348343,0.264522,1.00e-06,0.1929
158,stage2_agent,0.474826,0.345192,0.259269,1.00e-06,0.2622
159,stage2_agent,0.472757,0.342939,0.259636,1.00e-06,0.3184
160,stage2_agent,0.469019,0.339666,0.258707,1.00e-06,0.2656
161,stage2_agent,0.483364,0.351959,0.262809,1.00e-06,0.2415
162,stage2_agent,0.476984,0.344603,0.264763,1.00e-06,0.6842
163,stage2_agent,0.474850,0.345795,0.258110,1.00e-06,0.1972
164,stage2_agent,0.464728,0.337587,0.254281,1.00e-06,0.3458
165,stage2_agent,0.479226,0.345962,0.266528,1.00e-06,0.2223
166,stage2_agent,0.465504,0.337455,0.256097,1.00e-06,0.3981
167,stage2_agent,0.472468,0.343132,0.258671,1.00e-06,0.5172
168,stage2_agent,0.478740,0.346844,0.263792,1.00e-06,0.4179
169,stage2_agent,0.468745,0.340095,0.257301,1.00e-06,0.1791
170,stage2_agent,0.463722,0.336292,0.254860,1.00e-06,0.2697
171,stage2_agent,0.465855,0.338203,0.255304,1.00e-06,0.3340
172,stage2_agent,0.468459,0.339699,0.257519,1.00e-06,0.2920
173,stage2_agent,0.471454,0.341459,0.259990,1.00e-06,0.2179
174,stage2_agent,0.478970,0.347822,0.262294,1.00e-06,0.2378
175,stage2_agent,0.468285,0.340302,0.255966,1.00e-06,0.2280
176,stage2_agent,0.479493,0.346965,0.265055,1.00e-06,0.2321
177,stage2_agent,0.476013,0.345577,0.260872,1.00e-06,0.2187
178,stage2_agent,0.475038,0.345257,0.259562,1.00e-06,0.3748
179,stage2_agent,0.483445,0.351276,0.264339,1.00e-06,0.2981
180,stage2_agent,0.475019,0.344582,0.260875,1.00e-06,0.3911
181,stage2_agent,0.466061,0.337561,0.257000,1.00e-06,0.1876
182,stage2_agent,0.476235,0.346914,0.258641,1.00e-06,0.2666
183,stage2_agent,0.465830,0.337905,0.255851,1.00e-06,0.2571
184,stage2_agent,0.466856,0.338812,0.256089,1.00e-06,0.2335
185,stage2_agent,0.473438,0.343970,0.258936,1.00e-06,0.2358
186,stage2_agent,0.475838,0.346206,0.259264,1.00e-06,0.3789
187,stage2_agent,0.483099,0.350843,0.264511,1.00e-06,0.1594
188,stage2_agent,0.475618,0.346372,0.258492,1.00e-06,0.3259
189,stage2_agent,0.474989,0.345290,0.259397,1.00e-06,0.3668
190,stage2_agent,0.472735,0.343669,0.258131,1.00e-06,0.2453
191,stage2_agent,0.467022,0.338814,0.256418,1.00e-06,0.1981
192,stage2_agent,0.471045,0.342311,0.257467,1.00e-06,0.2655
193,stage2_agent,0.468745,0.340746,0.255999,1.00e-06,0.4340
194,stage2_agent,0.473752,0.345118,0.257268,1.00e-06,0.2049
195,stage2_agent,0.468005,0.339196,0.257617,1.00e-06,0.2035
196,stage3_interaction,0.481453,0.349391,0.264125,1.00e-07,0.2019
197,stage3_interaction,0.472579,0.343280,0.258598,1.50e-07,0.1903
198,stage3_interaction,0.477086,0.347509,0.259154,2.00e-07,0.2032
199,stage3_interaction,0.466532,0.339573,0.253918,2.50e-07,0.3234
200,stage3_interaction,0.476720,0.347161,0.259119,3.00e-07,0.2104
201,stage3_interaction,0.485648,0.353275,0.264746,3.50e-07,0.3183
202,stage3_interaction,0.476997,0.347138,0.259718,4.00e-07,0.2237
203,stage3_interaction,0.476059,0.346032,0.260054,4.50e-07,0.5010
204,stage3_interaction,0.470679,0.342944,0.255471,5.00e-07,0.2196
205,stage3_interaction,0.473192,0.344334,0.257716,5.50e-07,0.1918
206,stage3_interaction,0.471889,0.343256,0.257266,6.00e-07,0.1674
207,stage3_interaction,0.476090,0.345730,0.260719,6.50e-07,0.1991
208,stage3_interaction,0.477010,0.348237,0.257546,7.00e-07,0.2619
209,stage3_interaction,0.486183,0.353430,0.265506,7.50e-07,0.2487
210,stage3_interaction,0.468753,0.340837,0.255831,8.00e-07,0.3345
211,stage3_interaction,0.478004,0.348472,0.259064,8.50e-07,0.1487
212,stage3_interaction,0.463965,0.337099,0.253732,9.00e-07,0.2836
213,stage3_interaction,0.470966,0.341961,0.258009,9.50e-07,0.2187
214,stage3_interaction,0.475724,0.345863,0.259721,1.00e-06,0.2272
215,stage3_interaction,0.483528,0.350547,0.265961,1.00e-06,0.3089
216,stage3_interaction,0.477227,0.347232,0.259991,1.00e-06,0.1851
217,stage3_interaction,0.478926,0.347536,0.262779,1.00e-06,0.2507
218,stage3_interaction,0.479922,0.350485,0.258874,1.00e-06,0.1711
219,stage3_interaction,0.468092,0.339880,0.256424,1.00e-06,0.2528
220,stage3_interaction,0.475479,0.346148,0.258663,1.00e-06,0.1960
221,stage3_interaction,0.471189,0.343436,0.255507,1.00e-06,0.1655
222,stage3_interaction,0.472864,0.343659,0.258411,1.00e-06,0.2526
223,stage3_interaction,0.470336,0.342084,0.256504,1.00e-06,0.1931
224,stage3_interaction,0.470837,0.341494,0.258685,1.00e-06,0.1765
225,stage3_interaction,0.477685,0.345965,0.263441,1.00e-06,0.2656
226,stage3_interaction,0.479534,0.348129,0.262811,1.00e-06,0.2628
227,stage3_interaction,0.473053,0.344070,0.257965,1.00e-06,0.1849
228,stage3_interaction,0.471159,0.342575,0.257167,1.00e-06,0.1760
229,stage3_interaction,0.472941,0.344242,0.257398,1.00e-06,0.1682
230,stage3_interaction,0.476547,0.346908,0.259278,1.00e-06,0.2154
231,stage3_interaction,0.473458,0.344725,0.257466,1.00e-06,0.4463
232,stage3_interaction,0.478932,0.346689,0.264486,1.00e-06,0.2520
233,stage3_interaction,0.470457,0.342294,0.256326,1.00e-06,0.1857
234,stage3_interaction,0.469778,0.342154,0.255248,1.00e-06,0.3361
235,stage3_interaction,0.479778,0.347992,0.263572,1.00e-06,0.2736
236,stage3_interaction,0.480375,0.350489,0.259772,1.00e-06,0.3577
237,stage3_interaction,0.485250,0.352060,0.266380,1.00e-06,0.2080
238,stage3_interaction,0.467230,0.339399,0.255663,1.00e-06,0.2762
239,stage3_interaction,0.476375,0.345449,0.261852,1.00e-06,0.3553
240,stage3_interaction,0.471194,0.343688,0.255011,1.00e-06,0.1446
241,stage3_interaction,0.465934,0.338769,0.254328,1.00e-06,0.3115
242,stage3_interaction,0.466962,0.339014,0.255895,1.00e-06,0.1940
243,stage3_interaction,0.474355,0.344806,0.259097,1.00e-06,0.1743
244,stage3_interaction,0.472473,0.343765,0.257416,1.00e-06,0.1957
245,stage3_interaction,0.473720,0.345212,0.257016,1.00e-06,0.3681
246,stage3_interaction,0.471614,0.343436,0.256356,1.00e-06,0.2893
247,stage3_interaction,0.479811,0.348732,0.262159,1.00e-06,0.4113
248,stage3_interaction,0.482058,0.350133,0.263849,1.00e-06,0.5145
249,stage3_interaction,0.471262,0.342738,0.257048,1.00e-06,0.2787
250,stage3_interaction,0.469536,0.340612,0.257848,1.00e-06,0.1368
251,stage3_interaction,0.467495,0.339766,0.255458,1.00e-06,0.2927
252,stage3_interaction,0.470675,0.342763,0.255824,1.00e-06,0.1555
253,stage3_interaction,0.466080,0.339053,0.254054,1.00e-06,0.2123
254,stage3_interaction,0.465034,0.337903,0.254264,1.00e-06,0.2262
255,stage3_interaction,0.471263,0.342659,0.257208,1.00e-06,0.4108
256,stage3_interaction,0.470294,0.343067,0.254454,1.00e-06,0.1467
257,stage3_interaction,0.467662,0.339982,0.255360,1.00e-06,0.1786
258,stage3_interaction,0.468539,0.340791,0.255495,1.00e-06,0.1437
259,stage3_interaction,0.478508,0.348600,0.259815,1.00e-06,0.1952
260,stage3_interaction,0.463731,0.336595,0.254271,1.00e-06,0.1933
261,stage3_interaction,0.477799,0.347065,0.261468,1.00e-06,0.2428
262,stage3_interaction,0.474606,0.345050,0.259112,1.00e-06,0.1933
263,stage3_interaction,0.475326,0.344879,0.260892,1.00e-06,0.2743
264,stage3_interaction,0.468646,0.340733,0.255826,1.00e-06,0.2161
265,stage3_interaction,0.473827,0.345264,0.257126,1.00e-06,0.2124
266,stage3_interaction,0.472313,0.343682,0.257264,1.00e-06,0.2108
267,stage3_interaction,0.469463,0.342101,0.254723,1.00e-06,0.1425
268,stage3_interaction,0.463069,0.335950,0.254238,1.00e-06,0.2917
269,stage3_interaction,0.473053,0.344299,0.257508,1.00e-06,0.2212
270,stage3_interaction,0.477872,0.346470,0.262802,1.00e-06,0.1876
271,stage3_interaction,0.475544,0.345259,0.260571,1.00e-06,0.2067
272,stage3_interaction,0.483155,0.351302,0.263707,1.00e-06,0.2854
273,stage3_interaction,0.459980,0.333527,0.252905,1.00e-06,0.2131
274,stage3_interaction,0.468364,0.339970,0.256788,1.00e-06,0.1524
275,stage3_interaction,0.466942,0.338624,0.256637,1.00e-06,0.1997
276,stage3_interaction,0.468569,0.341159,0.254820,1.00e-06,0.1562
277,stage3_interaction,0.467190,0.339628,0.255125,1.00e-06,0.2612
278,stage3_interaction,0.471719,0.342997,0.257445,1.00e-06,0.3146
279,stage3_interaction,0.471243,0.342534,0.257419,1.00e-06,0.3021
280,stage3_interaction,0.468370,0.338982,0.258777,1.00e-06,0.2768
281,stage3_interaction,0.474519,0.344326,0.260386,1.00e-06,0.2466
282,stage3_interaction,0.474612,0.344912,0.259400,1.00e-06,0.2272
283,stage3_interaction,0.475082,0.345977,0.258210,1.00e-06,0.2160
284,stage3_interaction,0.468239,0.340447,0.255584,1.00e-06,0.3331
285,stage3_interaction,0.475825,0.345093,0.261463,1.00e-06,0.1745
286,stage3_interaction,0.468933,0.341370,0.255126,1.00e-06,0.3675
287,stage3_interaction,0.465607,0.338680,0.253853,1.00e-06,0.1277
288,stage3_interaction,0.475253,0.345896,0.258714,1.00e-06,0.2649
289,stage3_interaction,0.471751,0.342734,0.258033,1.00e-06,0.2525
290,stage3_interaction,0.479779,0.348526,0.262506,1.00e-06,0.1597
291,stage3_interaction,0.472671,0.344431,0.256482,1.00e-06,0.1463
292,stage3_interaction,0.480492,0.349573,0.261837,1.00e-06,0.1971
293,stage3_interaction,0.467929,0.340347,0.255166,1.00e-06,0.1772
294,stage3_interaction,0.470742,0.343056,0.255373,1.00e-06,0.1644
295,stage3_interaction,0.468128,0.341453,0.253349,1.00e-06,0.3036
296,stage3_interaction,0.472252,0.343602,0.257301,1.00e-06,0.2750
