step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
0,stage1_layout,0.494895,0.363574,0.262642,8.77e-07,1.7729
1,stage1_layout,0.490557,0.360242,0.260632,1.32e-06,2.1026
2,stage1_layout,0.497705,0.365091,0.265228,1.75e-06,2.2688
3,stage1_layout,0.488348,0.359232,0.258232,2.19e-06,1.4242
4,stage1_layout,0.495976,0.364589,0.262775,2.63e-06,1.6545
5,stage1_layout,0.499462,0.365859,0.267205,3.07e-06,3.7354
6,stage1_layout,0.494432,0.361609,0.265647,3.51e-06,2.4164
7,stage1_layout,0.490599,0.360511,0.260178,3.95e-06,0.9881
8,stage1_layout,0.496536,0.362806,0.267460,4.39e-06,1.5461
9,stage1_layout,0.486867,0.357142,0.259449,4.82e-06,0.7108
10,stage1_layout,0.485710,0.354533,0.262355,5.26e-06,0.5542
11,stage1_layout,0.497175,0.362839,0.268671,5.70e-06,1.0580
12,stage1_layout,0.488835,0.358418,0.260835,6.14e-06,0.5929
13,stage1_layout,0.491675,0.359878,0.263593,6.58e-06,0.3037
14,stage1_layout,0.488223,0.356653,0.263140,7.02e-06,0.4034
15,stage1_layout,0.485755,0.355422,0.260665,7.46e-06,0.2902
16,stage1_layout,0.488246,0.355674,0.265144,7.89e-06,0.3695
17,stage1_layout,0.484263,0.354935,0.258656,8.33e-06,0.2817
18,stage1_layout,0.488155,0.356693,0.262923,8.77e-06,0.3512
19,stage1_layout,0.483982,0.354324,0.259316,9.21e-06,0.4981
20,stage1_layout,0.479964,0.352075,0.255779,9.65e-06,0.3242
21,stage1_layout,0.488876,0.357513,0.262726,1.01e-05,0.4678
22,stage1_layout,0.486392,0.355222,0.262342,1.05e-05,0.3783
23,stage1_layout,0.489630,0.357137,0.264987,1.10e-05,0.3974
24,stage1_layout,0.483682,0.353921,0.259522,1.14e-05,0.2281
25,stage1_layout,0.476171,0.348415,0.255513,1.18e-05,0.2276
26,stage1_layout,0.485839,0.355282,0.261113,1.23e-05,0.3609
27,stage1_layout,0.481565,0.353328,0.256474,1.27e-05,0.1804
28,stage1_layout,0.484547,0.355291,0.258512,1.32e-05,0.2165
29,stage1_layout,0.473133,0.345942,0.254382,1.36e-05,0.2268
30,stage1_layout,0.483844,0.355171,0.257345,1.40e-05,0.2028
31,stage1_layout,0.476080,0.349318,0.253524,1.45e-05,0.2176
32,stage1_layout,0.472147,0.344655,0.254984,1.49e-05,0.1235
