step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
99,1,0.470280,0.470280,2.92e-05,0.1842,0.08,
100,1,0.475016,0.475016,2.95e-05,0.1383,0.08,
101,1,0.471401,0.471401,2.98e-05,0.1932,0.08,
102,1,0.470258,0.470258,3.01e-05,0.1134,0.08,
103,1,0.479506,0.479506,3.04e-05,0.1274,0.08,
104,1,0.458183,0.458183,3.07e-05,0.2652,0.08,
104,1,,,,,,0.472849
105,1,0.471168,0.471168,3.10e-05,0.2172,0.01,
106,1,0.477170,0.477170,3.13e-05,0.1210,0.09,
107,1,0.473921,0.473921,3.16e-05,0.1124,0.08,
108,1,0.473106,0.473106,3.19e-05,0.2214,0.08,
109,1,0.480686,0.480686,3.22e-05,0.2217,0.09,
110,1,0.471844,0.471844,3.25e-05,0.1193,0.09,
111,1,0.472517,0.472517,3.27e-05,0.1148,0.08,
112,1,0.471090,0.471090,3.30e-05,0.1777,0.08,
113,1,0.478617,0.478617,3.33e-05,0.1394,0.08,
114,1,0.476429,0.476429,3.36e-05,0.1888,0.08,
115,1,0.469511,0.469511,3.39e-05,0.0978,0.08,
116,1,0.478128,0.478128,3.42e-05,0.1628,0.08,
117,1,0.466666,0.466666,3.45e-05,0.3062,0.08,
118,1,0.478653,0.478653,3.48e-05,0.1405,0.09,
119,1,0.476090,0.476090,3.51e-05,0.0715,0.09,
119,1,,,,,,0.470830
120,1,0.467253,0.467253,3.54e-05,0.1309,0.01,
121,1,0.475642,0.475642,3.57e-05,0.2050,0.09,
122,1,0.475599,0.475599,3.60e-05,0.0985,0.09,
123,1,0.462454,0.462454,3.63e-05,0.1693,0.08,
124,1,0.464079,0.464079,3.65e-05,0.1255,0.08,
125,1,0.464029,0.464029,3.68e-05,0.1704,0.08,
126,1,0.473180,0.473180,3.71e-05,0.1325,0.08,
127,1,0.460041,0.460041,3.74e-05,0.1889,0.08,
128,1,0.475399,0.475399,3.77e-05,1.3123,0.08,
129,1,0.462734,0.462734,3.80e-05,0.0944,0.08,
130,1,0.467062,0.467062,3.83e-05,0.1355,0.08,
131,1,0.459645,0.459645,3.86e-05,0.1460,0.08,
132,1,0.475261,0.475261,3.89e-05,0.1458,0.08,
133,1,0.473417,0.473417,3.92e-05,0.1382,0.08,
134,1,0.465767,0.465767,3.95e-05,0.1841,0.08,
134,1,,,,,,0.468568
135,1,0.467784,0.467784,3.98e-05,0.0989,0.01,
136,1,0.464554,0.464554,4.01e-05,0.1028,0.08,
137,1,0.471735,0.471735,4.04e-05,0.1950,0.08,
138,1,0.460891,0.460891,4.06e-05,0.1741,0.08,
139,1,0.461824,0.461824,4.09e-05,0.1478,0.07,
140,1,0.466757,0.466757,4.12e-05,0.1313,0.08,
141,1,0.464312,0.464312,4.15e-05,0.1097,0.08,
142,1,0.470805,0.470805,4.18e-05,0.2065,0.08,
143,1,0.466369,0.466369,4.21e-05,0.1558,0.08,
144,1,0.467142,0.467142,4.24e-05,0.0944,0.08,
145,1,0.478009,0.478009,4.27e-05,0.1283,0.08,
146,1,0.462264,0.462264,4.30e-05,0.1213,0.08,
147,1,0.468878,0.468878,4.33e-05,0.0873,0.08,
148,1,0.463996,0.463996,4.36e-05,0.0858,0.07,
149,1,0.477260,0.477260,4.39e-05,0.1405,0.08,
149,1,,,,,,0.467807
150,1,0.466142,0.466142,4.42e-05,0.1031,0.01,
151,1,0.475491,0.475491,4.44e-05,0.1367,0.09,
152,2,0.460111,0.460111,4.47e-05,0.1005,0.08,
153,2,0.458785,0.458785,4.50e-05,0.0947,0.09,
154,2,0.470493,0.470493,4.53e-05,0.1091,0.08,
155,2,0.467793,0.467793,4.56e-05,0.1336,0.08,
156,2,0.482110,0.482110,4.59e-05,0.1593,0.08,
157,2,0.466715,0.466715,4.62e-05,0.1208,0.09,
158,2,0.466622,0.466622,4.65e-05,0.1303,0.08,
159,2,0.478481,0.478481,4.68e-05,0.1077,0.08,
160,2,0.466365,0.466365,4.71e-05,0.1310,0.08,
161,2,0.475517,0.475517,4.74e-05,0.0857,0.08,
162,2,0.470315,0.470315,4.77e-05,0.1004,0.08,
163,2,0.472141,0.472141,4.80e-05,0.1609,0.09,
164,2,0.466935,0.466935,4.82e-05,0.1033,0.08,
164,2,,,,,,0.468944
165,2,0.473597,0.473597,4.85e-05,0.0965,0.01,
166,2,0.460426,0.460426,4.88e-05,0.1108,0.08,
167,2,0.470923,0.470923,4.91e-05,0.1335,0.09,
168,2,0.465488,0.465488,4.94e-05,0.1085,0.09,
169,2,0.470739,0.470739,4.97e-05,0.1269,0.08,
170,2,0.470475,0.470475,5.00e-05,0.1315,0.08,
171,2,0.466913,0.466913,5.00e-05,0.1107,0.08,
172,2,0.476131,0.476131,5.00e-05,0.1389,0.09,
173,2,0.473463,0.473463,5.00e-05,0.1277,0.08,
174,2,0.466563,0.466563,5.00e-05,0.0985,0.08,
175,2,0.472103,0.472103,5.00e-05,0.0918,0.08,
176,2,0.462062,0.462062,5.00e-05,0.1078,0.08,
177,2,0.460939,0.460939,5.00e-05,0.1188,0.08,
178,2,0.464059,0.464059,5.00e-05,0.0978,0.08,
179,2,0.460267,0.460267,5.00e-05,0.1747,0.08,
179,2,,,,,,0.464273
180,2,0.476650,0.476650,5.00e-05,0.1412,0.01,
181,2,0.468229,0.468229,5.00e-05,0.1046,0.08,
182,2,0.455160,0.455160,5.00e-05,0.1824,0.08,
