step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,0.487004,0.000000,0.487004,5.00e-06,1.8323,0.07
1,0,0.495987,0.000000,0.495987,1.00e-05,2.2479,0.10
2,0,0.489585,0.001049,0.490634,9.96e-06,0.9961,0.07
3,0,0.492539,0.002960,0.495498,9.85e-06,1.3363,0.16
4,0,0.486911,0.003403,0.490315,9.68e-06,0.2886,0.08
5,0,0.492355,0.003044,0.495399,9.43e-06,0.2201,0.09
6,0,0.493628,0.002625,0.496253,9.11e-06,0.1542,0.04
7,0,0.481402,0.002381,0.483783,8.74e-06,0.2305,0.07
8,0,0.481797,0.002393,0.484190,8.32e-06,0.1342,0.06
9,0,0.490734,0.002367,0.493101,7.84e-06,0.1230,0.16
10,0,0.494079,0.002227,0.496307,7.32e-06,0.1361,0.07
11,0,0.489093,0.002063,0.491156,6.77e-06,0.0996,0.09
12,0,0.490011,0.001944,0.491955,6.20e-06,0.0697,0.04
13,0,0.490127,0.001815,0.491942,5.60e-06,0.0810,0.07
14,0,0.489688,0.001658,0.491346,5.00e-06,0.0794,0.05
15,0,0.485864,0.001520,0.487384,4.40e-06,0.0702,0.08
16,0,0.489286,0.001400,0.490686,3.80e-06,0.0661,0.07
17,0,0.483161,0.001297,0.484457,3.23e-06,0.0851,0.16
18,0,0.485999,0.001206,0.487206,2.68e-06,0.0658,0.06
19,0,0.487543,0.001118,0.488661,2.16e-06,0.1333,0.16
20,0,0.484566,0.001032,0.485598,1.68e-06,0.0639,0.08
21,0,0.483332,0.000953,0.484285,1.26e-06,0.0651,0.09
22,0,0.490062,0.000884,0.490946,8.85e-07,0.0494,0.05
23,0,0.485761,0.000826,0.486587,5.73e-07,0.0699,0.08
24,0,0.492526,0.000781,0.493307,3.25e-07,0.0813,0.07
25,0,0.484589,0.000749,0.485338,1.45e-07,0.0683,0.16
26,0,0.487909,0.000730,0.488639,1.00e-07,0.0665,0.06
27,0,0.484720,0.000720,0.485440,1.00e-07,0.6107,0.15
