step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,1.636644,0.000000,1.636644,1.25e-06,1.3995,0.02
1,0,1.631016,0.000000,1.631016,2.50e-06,1.3928,0.04
2,0,1.640549,0.000079,1.640628,3.75e-06,1.2991,0.04
3,0,1.640933,0.000479,1.641412,5.00e-06,1.7411,0.04
4,0,1.668202,0.001309,1.669511,6.25e-06,1.8615,0.04
5,0,1.652034,0.002524,1.654557,7.50e-06,1.4186,0.04
6,0,1.605079,0.003767,1.608846,8.75e-06,0.4374,0.04
7,0,1.576188,0.004350,1.580538,1.00e-05,0.5739,0.04
8,0,1.593462,0.004757,1.598219,1.00e-05,0.4489,0.03
9,0,1.594939,0.005117,1.600055,9.98e-06,0.4741,0.04
10,0,1.575216,0.005224,1.580440,9.96e-06,0.4959,0.04
11,0,1.564856,0.005111,1.569967,9.92e-06,0.7085,0.04
12,0,1.555558,0.004851,1.560409,9.88e-06,0.2745,0.04
13,0,1.551945,0.004630,1.556575,9.83e-06,0.2002,0.05
14,0,1.562660,0.004518,1.567179,9.77e-06,0.2092,0.05
15,0,1.596802,0.004404,1.601206,9.70e-06,0.2427,0.04
16,0,1.570962,0.004285,1.575247,9.62e-06,0.1663,0.03
17,0,1.557032,0.004235,1.561268,9.53e-06,0.1385,0.04
18,0,1.571181,0.004167,1.575348,9.44e-06,0.1159,0.04
19,0,1.560474,0.004019,1.564493,9.33e-06,0.1143,0.04
20,0,1.561921,0.003847,1.565767,9.22e-06,0.1243,0.04
21,0,1.541301,0.003685,1.544986,9.10e-06,0.1119,0.04
22,0,1.514799,0.003502,1.518301,8.97e-06,0.1265,0.04
23,0,1.538221,0.003340,1.541561,8.83e-06,0.1132,0.04
24,0,1.555538,0.003232,1.558770,8.69e-06,0.1074,0.03
25,0,1.564760,0.003122,1.567882,8.54e-06,0.1347,0.04
26,0,1.554076,0.003037,1.557113,8.38e-06,0.1098,0.04
27,0,1.557800,0.002945,1.560745,8.21e-06,0.1064,0.05
28,0,1.565011,0.002834,1.567845,8.04e-06,0.1064,0.04
29,0,1.557341,0.002721,1.560062,7.87e-06,0.1009,0.04
30,0,1.551379,0.002627,1.554007,7.69e-06,0.0880,0.04
31,0,1.554481,0.002545,1.557025,7.50e-06,0.0899,0.04
32,0,1.542150,0.002456,1.544606,7.31e-06,0.0977,0.03
33,0,1.550199,0.002358,1.552557,7.11e-06,0.0987,0.04
34,0,1.551745,0.002255,1.554001,6.91e-06,0.0951,0.04
35,0,1.545717,0.002153,1.547870,6.71e-06,0.1169,0.04
36,0,1.545864,0.002065,1.547929,6.50e-06,0.1178,0.04
37,0,1.552394,0.002009,1.554403,6.29e-06,0.0895,0.04
38,0,1.540045,0.001976,1.542021,6.08e-06,0.0892,0.04
39,0,1.536079,0.001962,1.538040,5.87e-06,0.1292,0.04
40,0,1.506560,0.001964,1.508524,5.65e-06,0.1150,0.03
41,0,1.550149,0.001968,1.552116,5.44e-06,0.0918,0.05
42,0,1.540646,0.001961,1.542607,5.22e-06,0.0876,0.04
43,0,1.536408,0.001925,1.538333,5.00e-06,0.0925,0.04
44,0,1.545105,0.001858,1.546963,4.78e-06,0.0930,0.04
45,0,1.575429,0.001777,1.577207,4.56e-06,0.0948,0.04
46,0,1.547393,0.001704,1.549098,4.35e-06,0.0917,0.04
47,0,1.534860,0.001640,1.536501,4.13e-06,0.1170,0.04
48,0,1.523527,0.001589,1.525116,3.92e-06,0.0967,0.03
49,0,1.529057,0.001537,1.530594,3.71e-06,0.1048,0.04
50,0,1.523606,0.001487,1.525092,3.50e-06,0.0907,0.04
51,0,1.515590,0.001437,1.517027,3.29e-06,0.0851,0.04
52,0,1.537199,0.001384,1.538584,3.09e-06,0.0957,0.04
53,0,1.522758,0.001341,1.524100,2.89e-06,0.3724,0.03
54,0,1.539833,0.001304,1.541136,2.69e-06,0.0796,0.04
55,0,1.552950,0.001273,1.554223,2.50e-06,0.0944,0.04
56,0,1.520325,0.001246,1.521571,2.31e-06,0.0781,0.03
57,0,1.526698,0.001212,1.527910,2.13e-06,0.0840,0.04
58,0,1.504050,0.001170,1.505220,1.96e-06,0.0889,0.04
59,0,1.533469,0.001126,1.534595,1.79e-06,0.0810,0.04
60,0,1.528245,0.001083,1.529329,1.62e-06,0.0919,0.04
61,0,1.515120,0.001042,1.516163,1.46e-06,0.7717,0.04
62,0,1.539378,0.001006,1.540384,1.31e-06,0.0919,0.04
63,0,1.534114,0.000974,1.535088,1.17e-06,0.0738,0.04
64,0,1.521239,0.000945,1.522184,1.03e-06,0.0883,0.03
65,0,1.529556,0.000917,1.530473,9.04e-07,0.5585,0.04
66,0,1.524961,0.000893,1.525854,7.83e-07,0.0741,0.04
67,0,1.528210,0.000870,1.529080,6.70e-07,0.0797,0.04
68,0,1.522625,0.000849,1.523475,5.65e-07,0.0953,0.04
69,0,1.510050,0.000832,1.510882,4.68e-07,0.0924,0.04
70,0,1.494372,0.000815,1.495188,3.81e-07,0.0696,0.04
71,0,1.518889,0.000801,1.519690,3.02e-07,0.1149,0.05
72,0,1.539199,0.000788,1.539987,2.31e-07,0.0834,0.03
73,0,1.509602,0.000777,1.510379,1.70e-07,0.0974,0.05
74,0,1.529241,0.000768,1.530009,1.19e-07,0.0796,0.04
75,0,1.515432,0.000761,1.516193,1.00e-07,0.0747,0.04
76,0,1.532306,0.000756,1.533062,1.00e-07,0.0999,0.04
77,0,1.530369,0.000752,1.531121,1.00e-07,0.0760,0.04
78,0,1.537365,0.000747,1.538113,1.00e-07,0.0680,0.04
79,0,1.531393,0.000743,1.532135,1.00e-07,0.0945,0.04
