step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.489054,0.000000,0.489054,3.57e-07,1.4346,0.08,
1,0,0.489259,0.000000,0.489259,7.14e-07,1.8570,0.11,
2,0,0.485855,0.000001,0.485855,1.07e-06,1.7862,0.13,
3,0,0.491418,0.000004,0.491422,1.43e-06,2.3034,0.13,
4,0,0.484194,0.000012,0.484206,1.79e-06,1.0576,0.16,
5,0,0.481510,0.000028,0.481538,2.14e-06,0.9381,0.16,
6,0,0.489446,0.000055,0.489500,2.50e-06,0.8550,0.15,
7,0,0.480316,0.000094,0.480410,2.86e-06,0.5995,0.15,
8,0,0.487047,0.000147,0.487194,3.21e-06,0.5057,0.15,
9,0,0.487161,0.000213,0.487375,3.57e-06,0.5250,0.16,
10,0,0.486142,0.000289,0.486431,3.93e-06,0.4220,0.15,
11,0,0.486748,0.000370,0.487118,4.29e-06,0.2117,0.16,
12,0,0.484382,0.000451,0.484833,4.64e-06,0.2152,0.16,
13,0,0.486815,0.000531,0.487346,5.00e-06,0.2789,0.16,
14,0,0.494021,0.000607,0.494629,5.36e-06,0.2415,0.18,
15,0,0.493693,0.000680,0.494373,5.71e-06,0.2031,0.15,
16,0,0.489793,0.000746,0.490539,6.07e-06,0.1889,0.16,
17,0,0.485745,0.000812,0.486557,6.43e-06,0.1263,0.16,
18,0,0.484533,0.000877,0.485410,6.79e-06,0.1308,0.16,
19,0,0.483431,0.000941,0.484372,7.14e-06,0.1220,0.16,
20,0,0.487630,0.001005,0.488635,7.50e-06,0.2302,0.16,
21,0,0.492300,0.001076,0.493377,7.86e-06,0.1805,0.16,
22,0,0.485772,0.001150,0.486922,8.21e-06,0.1108,0.16,
23,0,0.483684,0.001214,0.484898,8.57e-06,0.1138,0.16,
24,0,0.491517,0.001267,0.492784,8.93e-06,0.1116,0.16,
25,0,0.483860,0.001319,0.485179,9.29e-06,0.0743,0.15,
26,0,0.479278,0.001372,0.480650,9.64e-06,0.0664,0.15,
27,0,0.480788,0.001422,0.482210,1.00e-05,0.0769,0.15,
27,0,,,,,,,1.635954
28,0,0.473693,0.001472,0.475165,1.00e-05,0.0706,0.06,
29,0,0.477170,0.001524,0.478694,1.00e-05,0.0753,0.16,
30,0,0.485071,0.001575,0.486646,1.00e-05,0.0683,0.16,
31,0,0.481081,0.001617,0.482698,9.99e-06,0.0791,0.15,
32,0,0.481131,0.001655,0.482786,9.99e-06,0.0785,0.15,
33,0,0.479651,0.001688,0.481339,9.99e-06,0.0896,0.15,
34,0,0.486690,0.001724,0.488414,9.98e-06,0.0534,0.14,
35,0,0.483106,0.001756,0.484862,9.98e-06,0.0554,0.14,
36,0,0.485486,0.001782,0.487269,9.97e-06,0.1967,0.15,
37,0,0.484077,0.001822,0.485899,9.96e-06,0.0508,0.15,
38,0,0.474321,0.001873,0.476194,9.95e-06,0.0729,0.15,
39,0,0.481320,0.001918,0.483238,9.94e-06,0.0472,0.15,
40,0,0.480218,0.001949,0.482167,9.93e-06,0.0566,0.15,
41,0,0.480261,0.001963,0.482225,9.92e-06,0.0734,0.15,
42,0,0.492964,0.001973,0.494936,9.91e-06,0.0511,0.16,
43,0,0.490245,0.001979,0.492225,9.90e-06,0.0458,0.16,
44,0,0.478892,0.001976,0.480868,9.89e-06,0.0672,0.15,
45,0,0.475058,0.001961,0.477020,9.88e-06,0.0615,0.15,
46,0,0.487824,0.001946,0.489770,9.86e-06,0.0646,0.15,
47,0,0.480395,0.001933,0.482329,9.85e-06,0.0912,0.15,
48,0,0.481556,0.001925,0.483481,9.83e-06,0.0632,0.15,
49,0,0.486678,0.001921,0.488600,9.81e-06,0.0823,0.16,
50,0,0.479129,0.001928,0.481057,9.80e-06,0.0795,0.14,
51,0,0.483633,0.001938,0.485571,9.78e-06,0.0650,0.15,
52,0,0.473492,0.001952,0.475444,9.76e-06,0.0874,0.15,
53,0,0.480614,0.001967,0.482580,9.74e-06,0.0818,0.15,
54,0,0.483792,0.001985,0.485777,9.72e-06,0.0690,0.16,
55,0,0.478306,0.002005,0.480312,9.70e-06,0.0575,0.15,
55,0,,,,,,,1.631583
56,0,0.483258,0.002021,0.485279,9.68e-06,0.2688,0.04,
57,0,0.483233,0.002061,0.485295,9.66e-06,0.0556,0.15,
58,0,0.490104,0.002131,0.492235,9.63e-06,0.0636,0.15,
59,0,0.480070,0.002219,0.482289,9.61e-06,0.0560,0.15,
60,0,0.479972,0.002310,0.482282,9.59e-06,0.0485,0.15,
61,0,0.475287,0.002387,0.477674,9.56e-06,0.0615,0.15,
62,0,0.480834,0.002432,0.483266,9.54e-06,0.0491,0.15,
63,0,0.477269,0.002429,0.479698,9.51e-06,0.0482,0.15,
64,0,0.497055,0.002391,0.499446,9.48e-06,0.0540,0.15,
65,0,0.486610,0.002329,0.488939,9.45e-06,0.0478,0.15,
66,0,0.490632,0.002261,0.492893,9.43e-06,1.4713,0.15,
67,0,0.489876,0.002225,0.492101,9.40e-06,0.0479,0.16,
68,0,0.481411,0.002193,0.483604,9.37e-06,0.0636,0.16,
69,0,0.485908,0.002160,0.488068,9.34e-06,0.0582,0.16,
70,0,0.487535,0.002125,0.489660,9.30e-06,0.0834,0.16,
71,0,0.483978,0.002094,0.486072,9.27e-06,0.0544,0.15,
72,0,0.489570,0.002066,0.491636,9.24e-06,0.0489,0.16,
73,0,0.485909,0.002040,0.487949,9.21e-06,0.1115,0.16,
74,0,0.486938,0.002021,0.488959,9.17e-06,0.0653,0.16,
75,0,0.478509,0.001998,0.480507,9.14e-06,0.0589,0.16,
76,0,0.483745,0.001976,0.485721,9.10e-06,0.0512,0.16,
77,0,0.479048,0.001966,0.481014,9.07e-06,0.0683,0.16,
78,0,0.479184,0.001976,0.481160,9.03e-06,0.0521,0.15,
79,0,0.476948,0.001999,0.478947,8.99e-06,0.0504,0.15,
80,0,0.489689,0.002008,0.491697,8.96e-06,0.0603,0.15,
81,0,0.485593,0.002005,0.487598,8.92e-06,0.0495,0.15,
82,0,0.481252,0.001985,0.483237,8.88e-06,0.0495,0.15,
83,0,0.481077,0.001952,0.483029,8.84e-06,0.0683,0.15,
83,0,,,,,,,1.632931
84,0,0.477266,0.001906,0.479172,8.80e-06,0.0662,0.04,
85,0,0.480785,0.001854,0.482639,8.76e-06,0.0732,0.15,
86,0,0.474808,0.001807,0.476616,8.72e-06,0.0904,0.15,
87,0,0.478088,0.001777,0.479865,8.68e-06,0.0595,0.15,
88,0,0.485942,0.001761,0.487703,8.63e-06,0.0538,0.15,
89,0,0.478708,0.001747,0.480454,8.59e-06,0.0686,0.15,
90,0,0.469522,0.001732,0.471253,8.55e-06,0.0744,0.14,
91,0,0.485991,0.001709,0.487700,8.50e-06,0.0667,0.15,
92,0,0.493836,0.001680,0.495516,8.46e-06,0.0722,0.16,
93,0,0.480586,0.001653,0.482239,8.41e-06,0.0607,0.16,
94,0,0.482794,0.001634,0.484428,8.37e-06,0.1276,0.16,
95,0,0.482634,0.001640,0.484273,8.32e-06,0.0523,0.15,
96,0,0.480997,0.001663,0.482660,8.27e-06,0.0541,0.15,
97,0,0.488717,0.001686,0.490403,8.23e-06,0.1094,0.16,
98,0,0.479001,0.001703,0.480704,8.18e-06,0.1020,0.15,
99,0,0.475937,0.001713,0.477650,8.13e-06,0.0661,0.15,
100,0,0.479308,0.001719,0.481028,8.08e-06,0.1166,0.13,
101,0,0.486893,0.001717,0.488609,8.03e-06,0.0607,0.15,
102,0,0.490172,0.001706,0.491878,7.98e-06,0.0583,0.15,
103,0,0.488401,0.001695,0.490096,7.93e-06,0.0464,0.15,
104,0,0.481462,0.001680,0.483142,7.88e-06,0.0494,0.15,
105,0,0.481433,0.001661,0.483094,7.83e-06,0.0730,0.16,
106,0,0.482808,0.001640,0.484448,7.78e-06,0.0518,0.16,
107,0,0.484628,0.001615,0.486243,7.73e-06,0.0492,0.15,
108,0,0.488302,0.001587,0.489889,7.68e-06,0.0485,0.15,
109,0,0.487659,0.001557,0.489216,7.62e-06,0.0654,0.16,
110,0,0.490361,0.001522,0.491882,7.57e-06,0.0619,0.16,
111,0,0.482080,0.001491,0.483570,7.52e-06,0.0521,0.14,
111,0,,,,,,,1.632191
112,0,0.485071,0.001458,0.486529,7.46e-06,0.0504,0.04,
113,0,0.485761,0.001428,0.487189,7.41e-06,0.0659,0.14,
114,0,0.480676,0.001400,0.482076,7.36e-06,0.0549,0.15,
115,0,0.487210,0.001373,0.488583,7.30e-06,0.0468,0.15,
116,0,0.491385,0.001348,0.492734,7.25e-06,0.0455,0.16,
117,0,0.488266,0.001326,0.489591,7.19e-06,0.0488,0.16,
118,0,0.481980,0.001305,0.483284,7.13e-06,0.0451,0.15,
119,0,0.481882,0.001283,0.483165,7.08e-06,0.0546,0.15,
120,0,0.488270,0.001262,0.489532,7.02e-06,0.0479,0.16,
121,0,0.482095,0.001243,0.483337,6.96e-06,0.0507,0.15,
122,0,0.485840,0.001223,0.487063,6.91e-06,0.0497,0.16,
123,0,0.479822,0.001203,0.481026,6.85e-06,0.0460,0.16,
124,0,0.478121,0.001183,0.479304,6.79e-06,0.0475,0.15,
125,0,0.481787,0.001163,0.482950,6.73e-06,0.0675,0.15,
126,0,0.479578,0.001144,0.480723,6.67e-06,0.0478,0.15,
127,0,0.478004,0.001128,0.479132,6.62e-06,0.0488,0.15,
128,0,0.481897,0.001112,0.483009,6.56e-06,0.0656,0.15,
129,0,0.476288,0.001100,0.477388,6.50e-06,0.0625,0.15,
130,0,0.476961,0.001091,0.478052,6.44e-06,0.0453,0.15,
131,0,0.484224,0.001087,0.485311,6.38e-06,0.0518,0.15,
132,0,0.481586,0.001086,0.482671,6.32e-06,0.0473,0.15,
133,0,0.478081,0.001084,0.479166,6.26e-06,0.0552,0.16,
134,0,0.482048,0.001077,0.483126,6.20e-06,0.0608,0.16,
135,0,0.476592,0.001064,0.477655,6.14e-06,0.0463,0.15,
136,0,0.491013,0.001048,0.492061,6.08e-06,0.0547,0.15,
137,0,0.479775,0.001032,0.480807,6.02e-06,0.0534,0.15,
138,0,0.472782,0.001019,0.473801,5.96e-06,0.0960,0.15,
139,0,0.480862,0.001010,0.481872,5.90e-06,0.0807,0.14,
139,0,,,,,,,1.633650
140,0,0.483441,0.001006,0.484448,5.83e-06,0.0546,0.04,
141,0,0.483677,0.001006,0.484682,5.77e-06,0.0532,0.14,
142,0,0.481762,0.001007,0.482769,5.71e-06,0.1148,0.15,
143,0,0.487069,0.001015,0.488084,5.65e-06,0.0624,0.15,
144,0,0.487996,0.001031,0.489027,5.59e-06,0.0447,0.15,
145,0,0.487783,0.001050,0.488833,5.53e-06,0.0470,0.15,
146,0,0.484520,0.001069,0.485589,5.46e-06,0.0385,0.15,
147,0,0.482785,0.001083,0.483869,5.40e-06,0.0492,0.16,
148,0,0.481442,0.001092,0.482535,5.34e-06,0.0471,0.15,
149,0,0.486533,0.001095,0.487629,5.28e-06,0.0515,0.15,
150,0,0.481602,0.001096,0.482699,5.22e-06,0.0699,0.15,
151,0,0.481815,0.001091,0.482906,5.16e-06,0.0499,0.15,
152,0,0.479253,0.001083,0.480337,5.09e-06,0.0819,0.15,
153,0,0.479657,0.001072,0.480728,5.03e-06,0.0557,0.15,
154,0,0.481925,0.001060,0.482984,4.97e-06,0.0706,0.15,
155,0,0.480869,0.001048,0.481917,4.91e-06,0.0668,0.15,
156,0,0.468839,0.001040,0.469879,4.84e-06,0.0661,0.14,
157,0,0.481466,0.001038,0.482504,4.78e-06,0.0626,0.14,
158,0,0.473397,0.001040,0.474437,4.72e-06,0.0578,0.14,
159,0,0.478301,0.001042,0.479343,4.66e-06,0.0735,0.14,
160,0,0.479443,0.001042,0.480485,4.60e-06,0.0704,0.14,
161,0,0.478684,0.001040,0.479724,4.54e-06,0.0623,0.15,
162,0,0.484478,0.001036,0.485514,4.47e-06,0.0607,0.16,
163,0,0.491750,0.001030,0.492780,4.41e-06,0.0621,0.16,
164,0,0.486269,0.001026,0.487295,4.35e-06,0.0481,0.16,
165,0,0.478248,0.001021,0.479269,4.29e-06,0.0893,0.16,
166,0,0.480485,0.001014,0.481499,4.23e-06,0.0712,0.15,
167,0,0.486270,0.001008,0.487278,4.17e-06,0.0539,0.16,
167,0,,,,,,,1.630383
168,0,0.489382,0.001000,0.490382,4.10e-06,0.0567,0.04,
169,0,0.491280,0.000991,0.492272,4.04e-06,0.0503,0.15,
170,0,0.483832,0.000985,0.484817,3.98e-06,0.0557,0.15,
171,0,0.488647,0.000978,0.489625,3.92e-06,0.0604,0.15,
172,0,0.488590,0.000970,0.489560,3.86e-06,0.0422,0.16,
173,0,0.492348,0.000961,0.493309,3.80e-06,0.0665,0.16,
174,0,0.494222,0.000954,0.495176,3.74e-06,0.0465,0.16,
175,0,0.496672,0.000948,0.497621,3.68e-06,0.0458,0.15,
176,0,0.493264,0.000946,0.494210,3.62e-06,0.0415,0.16,
177,0,0.492561,0.000945,0.493506,3.56e-06,0.0444,0.16,
178,0,0.484300,0.000944,0.485244,3.50e-06,0.0614,0.16,
179,0,0.485277,0.000942,0.486219,3.44e-06,0.0548,0.15,
180,0,0.485886,0.000936,0.486822,3.38e-06,0.0609,0.15,
181,0,0.487102,0.000923,0.488025,3.33e-06,0.0641,0.15,
182,0,0.478408,0.000906,0.479314,3.27e-06,0.0573,0.15,
183,0,0.481010,0.000887,0.481897,3.21e-06,0.0690,0.15,
184,0,0.486699,0.000867,0.487567,3.15e-06,0.0607,0.16,
185,0,0.484580,0.000850,0.485429,3.09e-06,0.0479,0.15,
186,0,0.478249,0.000834,0.479084,3.04e-06,0.0528,0.14,
187,0,0.486220,0.000821,0.487041,2.98e-06,0.0532,0.15,
188,0,0.483364,0.000810,0.484174,2.92e-06,0.0515,0.15,
189,0,0.477147,0.000802,0.477949,2.87e-06,0.0469,0.14,
190,0,0.483462,0.000794,0.484256,2.81e-06,0.0714,0.15,
191,0,0.482507,0.000788,0.483294,2.75e-06,0.0521,0.15,
192,0,0.477032,0.000782,0.477813,2.70e-06,0.0465,0.15,
193,0,0.489335,0.000775,0.490110,2.64e-06,0.0480,0.15,
194,0,0.480914,0.000769,0.481683,2.59e-06,0.0563,0.15,
195,0,0.472652,0.000761,0.473413,2.54e-06,0.0913,0.14,
195,0,,,,,,,1.632845
196,0,0.479777,0.000753,0.480529,2.48e-06,0.0577,0.04,
197,0,0.478662,0.000743,0.479405,2.43e-06,0.0723,0.16,
198,0,0.478282,0.000733,0.479015,2.38e-06,0.0871,0.15,
