step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
10,0,1.638672,0.000034,1.638706,2.75e-06,1.1172,0.04
11,0,1.608150,0.000049,1.608199,3.00e-06,0.6197,0.04
12,0,1.606153,0.000068,1.606221,3.25e-06,0.4212,0.04
13,0,1.602832,0.000091,1.602923,3.50e-06,0.4276,0.05
14,0,1.607124,0.000119,1.607243,3.75e-06,0.3547,0.05
15,0,1.638934,0.000153,1.639087,4.00e-06,0.5432,0.04
16,0,1.623031,0.000193,1.623224,4.25e-06,0.6636,0.03
17,0,1.593464,0.000238,1.593701,4.50e-06,0.5470,0.04
18,0,1.605692,0.000287,1.605979,4.75e-06,0.4777,0.04
19,0,1.592414,0.000339,1.592753,5.00e-06,0.2701,0.04
20,0,1.591323,0.000394,1.591717,5.25e-06,0.6024,0.04
21,0,1.566360,0.000451,1.566812,5.50e-06,0.7837,0.04
22,0,1.547516,0.000507,1.548023,5.75e-06,0.5011,0.04
23,0,1.570901,0.000558,1.571459,6.00e-06,0.3128,0.04
24,0,1.579660,0.000607,1.580267,6.25e-06,0.2174,0.03
25,0,1.585374,0.000656,1.586030,6.50e-06,0.2291,0.04
26,0,1.573582,0.000707,1.574289,6.75e-06,0.2417,0.04
27,0,1.572815,0.000761,1.573576,7.00e-06,0.1524,0.04
28,0,1.582390,0.000814,1.583204,7.25e-06,0.1427,0.04
29,0,1.574752,0.000867,1.575618,7.50e-06,0.1107,0.04
30,0,1.559597,0.000920,1.560517,7.75e-06,0.1464,0.04
31,0,1.568536,0.000971,1.569507,8.00e-06,0.1194,0.04
32,0,1.561710,0.001021,1.562732,8.25e-06,0.1153,0.03
33,0,1.563310,0.001071,1.564381,8.50e-06,0.1263,0.04
34,0,1.573177,0.001118,1.574295,8.75e-06,0.1229,0.04
35,0,1.559422,0.001165,1.560586,9.00e-06,0.1115,0.04
36,0,1.545082,0.001211,1.546292,9.25e-06,0.1022,0.04
37,0,1.562999,0.001256,1.564255,9.50e-06,0.0958,0.04
38,0,1.549413,0.001301,1.550713,9.75e-06,0.1054,0.04
39,0,1.537475,0.001345,1.538820,1.00e-05,0.1081,0.04
40,0,1.522110,0.001388,1.523498,1.00e-05,0.1008,0.03
41,0,1.556435,0.001430,1.557865,1.00e-05,0.0927,0.05
42,0,1.536561,0.001469,1.538030,1.00e-05,0.1135,0.04
43,0,1.546774,0.001509,1.548283,1.00e-05,0.0906,0.04
44,0,1.554023,0.001546,1.555569,1.00e-05,0.1205,0.04
45,0,1.576622,0.001583,1.578205,9.99e-06,0.0948,0.04
46,0,1.548284,0.001622,1.549906,9.99e-06,0.0910,0.04
47,0,1.538727,0.001661,1.540388,9.99e-06,0.1024,0.04
48,0,1.530235,0.001696,1.531931,9.98e-06,0.1108,0.03
49,0,1.524360,0.001730,1.526090,9.98e-06,0.1040,0.04
50,0,1.535948,0.001760,1.537708,9.98e-06,0.0875,0.04
51,0,1.526261,0.001786,1.528046,9.97e-06,0.0893,0.04
52,0,1.532773,0.001808,1.534581,9.97e-06,0.0927,0.04
53,0,1.544549,0.001827,1.546376,9.96e-06,0.2100,0.04
54,0,1.543212,0.001846,1.545058,9.96e-06,0.0934,0.04
55,0,1.543026,0.001863,1.544890,9.95e-06,0.1398,0.04
56,0,1.521767,0.001880,1.523647,9.95e-06,0.0852,0.03
57,0,1.524733,0.001895,1.526628,9.94e-06,0.0798,0.04
58,0,1.503091,0.001909,1.504999,9.93e-06,0.0910,0.04
59,0,1.518571,0.001922,1.520494,9.92e-06,0.0867,0.04
60,0,1.520459,0.001935,1.522394,9.92e-06,0.0704,0.04
61,0,1.520078,0.001948,1.522025,9.91e-06,0.7761,0.04
62,0,1.544134,0.001961,1.546094,9.90e-06,0.0789,0.04
63,0,1.519124,0.001972,1.521097,9.89e-06,0.1047,0.04
64,0,1.521130,0.001985,1.523115,9.88e-06,0.0970,0.03
65,0,1.525901,0.001995,1.527896,9.87e-06,0.8053,0.04
66,0,1.526248,0.002009,1.528257,9.86e-06,0.1187,0.04
67,0,1.519889,0.002024,1.521913,9.85e-06,0.0834,0.04
68,0,1.512672,0.002039,1.514710,9.84e-06,0.0874,0.04
69,0,1.509516,0.002053,1.511568,9.83e-06,0.0916,0.04
70,0,1.497666,0.002067,1.499733,9.82e-06,0.0743,0.04
71,0,1.510193,0.002079,1.512272,9.81e-06,0.0896,0.04
72,0,1.525041,0.002090,1.527131,9.79e-06,0.0777,0.03
73,0,1.507609,0.002101,1.509710,9.78e-06,0.0835,0.04
74,0,1.516969,0.002111,1.519080,9.77e-06,0.0676,0.04
75,0,1.508809,0.002121,1.510929,9.76e-06,0.1209,0.04
76,0,1.534904,0.002131,1.537035,9.74e-06,0.1047,0.04
77,0,1.525122,0.002140,1.527262,9.73e-06,0.0845,0.04
78,0,1.529667,0.002148,1.531815,9.71e-06,0.1892,0.04
79,0,1.529369,0.002156,1.531526,9.70e-06,0.0968,0.04
80,1,1.463219,0.002163,1.465383,9.68e-06,0.1699,0.04
81,1,1.492174,0.002172,1.494346,9.67e-06,0.1071,0.04
82,1,1.493096,0.002184,1.495280,9.65e-06,0.0825,0.04
83,1,1.514065,0.002199,1.516263,9.64e-06,0.0832,0.05
84,1,1.526366,0.002217,1.528583,9.62e-06,0.0954,0.05
85,1,1.528209,0.002236,1.530445,9.60e-06,0.0806,0.04
86,1,1.536439,0.002253,1.538692,9.59e-06,0.1018,0.04
87,1,1.493226,0.002274,1.495500,9.57e-06,0.0995,0.04
88,1,1.501547,0.002292,1.503839,9.55e-06,0.1003,0.03
89,1,1.517575,0.002308,1.519884,9.53e-06,0.0909,0.04
90,1,1.516067,0.002322,1.518390,9.51e-06,0.0876,0.04
91,1,1.501306,0.002333,1.503639,9.49e-06,0.0834,0.04
92,1,1.501295,0.002341,1.503636,9.47e-06,0.1074,0.04
93,1,1.507491,0.002347,1.509838,9.46e-06,0.0979,0.04
94,1,1.497538,0.002351,1.499889,9.44e-06,0.1406,0.04
95,1,1.507190,0.002357,1.509547,9.41e-06,0.1614,0.04
96,1,1.543016,0.002363,1.545380,9.39e-06,0.1114,0.03
97,1,1.517327,0.002371,1.519698,9.37e-06,0.0752,0.04
