step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,0.493099,0.000000,0.493099,5.00e-06,1.7255,0.08
1,0,0.497347,0.000000,0.497347,1.00e-05,1.9617,0.10
2,0,0.488219,0.000010,0.488229,9.96e-06,0.9528,0.06
3,0,0.490376,0.000065,0.490441,9.85e-06,0.8492,0.17
4,0,0.486167,0.000144,0.486311,9.68e-06,0.2327,0.07
5,0,0.484906,0.000226,0.485132,9.43e-06,0.2490,0.09
6,0,0.487585,0.000303,0.487887,9.11e-06,0.2206,0.03
7,0,0.493163,0.000371,0.493534,8.74e-06,0.1310,0.06
8,0,0.485378,0.000435,0.485814,8.32e-06,0.2094,0.05
9,0,0.487570,0.000491,0.488061,7.84e-06,0.1180,0.07
10,0,0.495645,0.000541,0.496187,7.32e-06,0.0663,0.06
11,0,0.496316,0.000588,0.496904,6.77e-06,0.0630,0.19
12,0,0.485570,0.000628,0.486198,6.20e-06,0.1173,0.06
13,0,0.491091,0.000662,0.491753,5.60e-06,0.0680,0.17
14,0,0.484589,0.000690,0.485279,5.00e-06,0.0803,0.07
15,0,0.489367,0.000712,0.490079,4.40e-06,0.0707,0.09
16,0,0.492515,0.000729,0.493244,3.80e-06,0.0900,0.04
17,0,0.485507,0.000742,0.486249,3.23e-06,0.0692,0.06
18,0,0.485294,0.000751,0.486045,2.68e-06,0.0474,0.05
19,0,0.487652,0.000757,0.488408,2.16e-06,0.0592,0.08
20,0,0.481800,0.000760,0.482560,1.68e-06,0.0664,0.06
21,0,0.489345,0.000762,0.490107,1.26e-06,0.0540,0.17
22,0,0.489003,0.000762,0.489765,8.85e-07,0.1527,0.07
23,0,0.491220,0.000762,0.491982,5.73e-07,0.0612,0.09
24,0,0.483646,0.000761,0.484408,3.25e-07,0.0464,0.05
25,0,0.481067,0.000761,0.481827,1.45e-07,0.0495,0.07
26,0,0.486459,0.000760,0.487219,1.00e-07,0.0511,0.06
27,0,0.487523,0.000760,0.488283,1.00e-07,0.0573,0.15
