step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
76,stage1_layout,0.471815,0.346004,0.251622,1.00e-05,0.1248
77,stage1_layout,0.475608,0.347670,0.255876,1.00e-05,0.1920
78,stage1_layout,0.471118,0.344334,0.253569,1.00e-05,0.1119
79,stage1_layout,0.480889,0.351940,0.257897,1.00e-05,0.1688
80,stage1_layout,0.478559,0.350172,0.256774,1.00e-05,0.1286
81,stage1_layout,0.479367,0.349078,0.260578,1.00e-05,0.3003
82,stage1_layout,0.470551,0.344101,0.252900,1.00e-05,0.1544
83,stage1_layout,0.474887,0.348350,0.253075,1.00e-05,0.1323
84,stage1_layout,0.476057,0.348009,0.256097,1.00e-05,0.1595
85,stage1_layout,0.480159,0.350694,0.258931,1.00e-05,0.4237
86,stage1_layout,0.481384,0.351575,0.259616,1.00e-05,0.2926
87,stage1_layout,0.476298,0.345828,0.260939,1.00e-05,0.4893
88,stage1_layout,0.467399,0.341366,0.252066,1.00e-05,0.1823
89,stage1_layout,0.467322,0.341431,0.251781,1.00e-05,0.1207
90,stage1_layout,0.467734,0.340580,0.254309,1.00e-05,0.1509
91,stage1_layout,0.467478,0.340791,0.253373,1.00e-05,0.1316
92,stage1_layout,0.468501,0.341510,0.253982,1.00e-05,0.1701
93,stage1_layout,0.475560,0.348162,0.254795,1.00e-05,0.2195
94,stage1_layout,0.469441,0.343184,0.252514,1.00e-05,0.1654
95,stage1_layout,0.476238,0.347447,0.257582,1.00e-05,0.3665
96,stage1_layout,0.477232,0.348163,0.258138,1.00e-05,0.1737
97,stage1_layout,0.467001,0.342060,0.249882,1.00e-05,0.1551
98,stage1_layout,0.463752,0.337360,0.252785,1.00e-05,0.1331
99,stage1_layout,0.466572,0.340532,0.252080,1.00e-05,0.1851
100,stage1_layout,0.470645,0.344547,0.252194,1.00e-05,0.1494
101,stage1_layout,0.472796,0.345097,0.255398,1.00e-05,0.2053
102,stage1_layout,0.466150,0.340845,0.250610,1.00e-05,0.1964
103,stage1_layout,0.471925,0.345435,0.252981,1.00e-05,0.1811
104,stage1_layout,0.461343,0.336602,0.249481,1.00e-05,0.1443
105,stage1_layout,0.469486,0.342923,0.253126,1.00e-05,0.1533
106,stage1_layout,0.479975,0.350735,0.258480,1.00e-05,0.2235
107,stage1_layout,0.474057,0.347144,0.253827,1.00e-05,0.1216
108,stage1_layout,0.477434,0.349797,0.255273,1.00e-05,0.2828
109,stage1_layout,0.475121,0.347870,0.254502,1.00e-05,0.1380
110,stage1_layout,0.477020,0.348986,0.256070,1.00e-05,0.1541
111,stage1_layout,0.476658,0.348724,0.255868,1.00e-05,0.1636
112,stage1_layout,0.474354,0.346846,0.255016,1.00e-05,0.2451
113,stage1_layout,0.468600,0.342212,0.252776,1.00e-05,0.1523
114,stage1_layout,0.464587,0.338496,0.252181,1.00e-05,0.1979
115,stage1_layout,0.477089,0.348635,0.256909,1.00e-05,0.1905
116,stage1_layout,0.474107,0.347523,0.253169,1.00e-05,0.2000
117,stage1_layout,0.469908,0.343804,0.252208,1.00e-05,0.3097
118,stage1_layout,0.472137,0.346558,0.251159,1.00e-05,0.2043
119,stage1_layout,0.476834,0.348293,0.257082,1.00e-05,0.1939
120,stage1_layout,0.475539,0.347431,0.256217,1.00e-05,0.1591
121,stage1_layout,0.462043,0.337329,0.249429,1.00e-05,0.1453
122,stage1_layout,0.461884,0.336980,0.249808,1.00e-05,0.1439
123,stage1_layout,0.473553,0.345955,0.255196,1.00e-05,0.3338
124,stage1_layout,0.476215,0.349318,0.253793,1.00e-05,0.1909
125,stage1_layout,0.471515,0.344479,0.254073,1.00e-05,0.1664
126,stage1_layout,0.466199,0.341836,0.248727,1.00e-05,0.1708
127,stage1_layout,0.476145,0.348887,0.254517,1.00e-05,0.1712
128,stage1_layout,0.469488,0.343087,0.252801,1.00e-05,0.2280
129,stage1_layout,0.463070,0.338382,0.249376,1.00e-05,0.1420
130,stage1_layout,0.468433,0.343166,0.250534,1.00e-05,0.1666
131,stage1_layout,0.467478,0.342786,0.249384,1.00e-05,0.1221
132,stage1_layout,0.468557,0.342074,0.252966,1.00e-05,0.1959
133,stage1_layout,0.484782,0.352236,0.265092,1.00e-05,0.6580
